"years_forcing","months_forcing","precipforc_1","tsaforc_1"
7750,1,0.00730748,-29.8398
7750,2,0.00655406,-33.2568
7750,3,0.0113249,-31.9312
7750,4,0.0073108,-22.4828
7750,5,0.0142263,-6.61036
7750,6,0.0264113,6.94141
7750,7,0.0479837,12.9108
7750,8,0.0326551,11.0582
7750,9,0.0226384,2.08901
7750,10,0.0206143,-14.4076
7750,11,0.0204771,-21.6022
7750,12,0.00900462,-27.6475
7749,1,0.00796774,-33.8723
7749,2,0.0103408,-36.362
7749,3,0.00984887,-29.0679
7749,4,0.0117081,-19.8431
7749,5,0.0173782,-6.50993
7749,6,0.0137407,6.95472
7749,7,0.0355589,11.5009
7749,8,0.022365,11.1653
7749,9,0.0196088,2.94579
7749,10,0.0219856,-10.6495
7749,11,0.0174729,-24.5953
7749,12,0.0091154,-30.2448
7748,1,0.0135734,-41.0598
7748,2,0.00865864,-27.8178
7748,3,0.0130739,-22.3166
7748,4,0.0102454,-14.494
7748,5,0.0119033,-2.35652
7748,6,0.0126302,11.8868
7748,7,0.0429428,15.427
7748,8,0.0284757,10.7011
7748,9,0.040178,1.61672
7748,10,0.0340406,-6.15036
7748,11,0.0203202,-23.5367
7748,12,0.00679258,-26.194
7747,1,0.00733612,-28.6882
7747,2,0.00756726,-29.8258
7747,3,0.013632,-19.5269
7747,4,0.00873985,-20.2933
7747,5,0.0119311,-4.2534
7747,6,0.0397199,5.40784
7747,7,0.0463123,15.2642
7747,8,0.0326072,12.0515
7747,9,0.0204756,3.70333
7747,10,0.0192024,-5.87231
7747,11,0.00602583,-25.1382
7747,12,0.0073768,-33.477
7746,1,0.00844518,-32.3501
7746,2,0.00668049,-35.1259
7746,3,0.0120536,-28.1332
7746,4,0.0134737,-15.8337
7746,5,0.0129841,-4.97526
7746,6,0.0161485,5.76233
7746,7,0.0174159,16.8648
7746,8,0.0381069,10.9106
7746,9,0.0432451,3.11037
7746,10,0.015362,-8.85922
7746,11,0.0143207,-22.4322
7746,12,0.00524505,-35.4322
7745,1,0.00796881,-38.0286
7745,2,0.00461664,-39.193
7745,3,0.00692599,-31.4518
7745,4,0.00697335,-21.0708
7745,5,0.0136896,-5.29798
7745,6,0.0214677,6.84708
7745,7,0.0414868,13.4127
7745,8,0.0265958,12.9893
7745,9,0.0272109,0.390675
7745,10,0.0210846,-12.979
7745,11,0.0138296,-32.0063
7745,12,0.00633591,-36.5565
7744,1,0.01063,-33.0959
7744,2,0.0039533,-39.8054
7744,3,0.00727139,-34.2725
7744,4,0.00578421,-23.6487
7744,5,0.0138967,-5.08903
7744,6,0.021951,7.50864
7744,7,0.0260826,14.3186
7744,8,0.0315596,10.6811
7744,9,0.033364,4.65297
7744,10,0.015489,-1.25912
7744,11,0.0114933,-23.2613
7744,12,0.0131509,-24.5887
7743,1,0.0102451,-28.4899
7743,2,0.00463837,-33.5039
7743,3,0.00383095,-34.8982
7743,4,0.00887276,-12.2921
7743,5,0.017392,-0.0129809
7743,6,0.0153841,8.92975
7743,7,0.0139447,15.9999
7743,8,0.0208102,11.1195
7743,9,0.0251462,-0.13615
7743,10,0.0217721,-9.98034
7743,11,0.0153449,-25.2163
7743,12,0.011963,-33.9675
7742,1,0.00868972,-35.2152
7742,2,0.00743942,-40.4726
7742,3,0.00677695,-32.42
7742,4,0.0122038,-13.7305
7742,5,0.0130552,-1.88285
7742,6,0.0209461,9.69312
7742,7,0.0276797,15.6136
7742,8,0.0335933,10.2766
7742,9,0.0183531,1.37862
7742,10,0.020115,-12.6111
7742,11,0.0127998,-31.6607
7742,12,0.0079307,-35.3224
7741,1,0.00711154,-38.36
7741,2,0.0143906,-33.0301
7741,3,0.00432465,-31.3664
7741,4,0.00563342,-21.3949
7741,5,0.00830052,-3.8943
7741,6,0.017333,8.83634
7741,7,0.0430569,13.9109
7741,8,0.040476,10.2371
7741,9,0.0291554,1.16414
7741,10,0.0233825,-5.49457
7741,11,0.0186581,-22.0612
7741,12,0.00789476,-31.8311
7740,1,0.00710723,-36.7776
7740,2,0.00628943,-36.4523
7740,3,0.010799,-34.559
