"years_forcing","months_forcing","precipforc_1","tsaforc_1"
5810,1,0.00994549,-36.8777
5810,2,0.0132344,-28.6758
5810,3,0.014717,-20.7654
5810,4,0.0162103,-11.9389
5810,5,0.0213681,-2.2442
5810,6,0.0349723,8.78178
5810,7,0.0698483,15.3552
5810,8,0.0535702,12.5642
5810,9,0.0244433,5.82793
5810,10,0.0335383,-7.00524
5810,11,0.0226709,-13.4635
5810,12,0.00914991,-29.2402
5809,1,0.00968898,-25.5427
5809,2,0.00603125,-24.8061
5809,3,0.0104316,-29.3284
5809,4,0.0175752,-17.572
5809,5,0.0162497,-2.82071
5809,6,0.045958,9.73643
5809,7,0.0416028,14.2825
5809,8,0.0548815,13.2275
5809,9,0.0219793,5.72896
5809,10,0.0200114,-5.42706
5809,11,0.0197569,-20.2988
5809,12,0.0127845,-27.5745
5808,1,0.0110543,-27.9634
5808,2,0.00706733,-37.7414
5808,3,0.0147434,-20.2493
5808,4,0.0161938,-17.829
5808,5,0.0156701,-0.460753
5808,6,0.0314525,9.19114
5808,7,0.0585591,13.9215
5808,8,0.0417848,17.0328
5808,9,0.0408175,5.18037
5808,10,0.0416477,-4.80251
5808,11,0.0182241,-12.3111
5808,12,0.00703594,-30.7957
5807,1,0.0118433,-31.5737
5807,2,0.00738969,-20.8022
5807,3,0.0140974,-20.6792
5807,4,0.020113,-11.9472
5807,5,0.020779,-0.423247
5807,6,0.0335915,5.45927
5807,7,0.0647929,15.4802
5807,8,0.0352642,13.58
5807,9,0.0438584,6.64
5807,10,0.0254618,-2.89291
5807,11,0.0187238,-16.3621
5807,12,0.0148777,-30.8837
5806,1,0.0143622,-27.1776
5806,2,0.01075,-19.6848
5806,3,0.0108467,-28.7782
5806,4,0.0192342,-9.3766
5806,5,0.0158073,-3.61539
5806,6,0.0347587,7.61085
5806,7,0.0371949,14.7454
5806,8,0.0414965,15.2361
5806,9,0.0279251,7.13145
5806,10,0.0364144,-7.44735
5806,11,0.0162354,-24.9737
5806,12,0.00975028,-29.4501
5805,1,0.00913422,-36.9845
5805,2,0.00450495,-33.8986
5805,3,0.0144197,-23.9505
5805,4,0.0123383,-16.1251
5805,5,0.0127617,-4.59903
5805,6,0.0444905,8.01017
5805,7,0.0726984,15.8513
5805,8,0.0307907,13.0653
5805,9,0.0664493,6.91545
5805,10,0.0311975,-7.60598
5805,11,0.0120177,-23.8143
5805,12,0.00920015,-29.9107
5804,1,0.0179283,-35.5916
5804,2,0.00419867,-33.0267
5804,3,0.00534907,-31.8619
5804,4,0.0109291,-16.7575
5804,5,0.0203071,-2.54867
5804,6,0.0450275,7.33149
5804,7,0.09832,13.0665
5804,8,0.0736702,13.2083
5804,9,0.0511151,5.49162
5804,10,0.0300049,-3.86379
5804,11,0.0171352,-24.0033
5804,12,0.0181471,-28.2521
5803,1,0.0118307,-33.1278
5803,2,0.00727099,-33.3195
5803,3,0.0113168,-16.6322
5803,4,0.0141573,-10.8524
5803,5,0.0162461,1.04187
5803,6,0.0156958,10.343
5803,7,0.0557834,15.6856
5803,8,0.0634642,14.3896
5803,9,0.0341304,5.44472
5803,10,0.0258236,-7.98409
5803,11,0.0140832,-21.1802
5803,12,0.0145281,-28.2202
5802,1,0.0106956,-31.9517
5802,2,0.0131774,-14.1977
5802,3,0.014124,-20.8168
5802,4,0.017172,-14.8423
5802,5,0.0244654,-1.28164
5802,6,0.0312808,7.12171
5802,7,0.0703253,13.4654
5802,8,0.0386238,13.0587
5802,9,0.0477468,7.40681
5802,10,0.0249337,-4.92562
5802,11,0.0210822,-16.3051
5802,12,0.00799804,-28.5694
