"years_forcing","months_forcing","precipforc_1","tsaforc_1"
7760,1,0.0269018,-21.7827
7760,2,0.0110889,-30.9192
7760,3,0.0304016,-23.2841
7760,4,0.0311859,-4.50034
7760,5,0.0572621,5.2917
7760,6,0.0822069,16.7373
7760,7,0.121175,19.0878
7760,8,0.164211,16.0482
7760,9,0.0649809,10.2073
7760,10,0.0506107,-3.53455
7760,11,0.0257921,-13.868
7760,12,0.0205594,-24.1146
7759,1,0.0394769,-25.1909
7759,2,0.0311057,-21.5441
7759,3,0.0573173,-18.777
7759,4,0.0261541,-8.56473
7759,5,0.0285955,2.31331
7759,6,0.0663808,13.9325
7759,7,0.0659304,18.8272
7759,8,0.115703,15.7225
7759,9,0.0507625,11.5164
7759,10,0.0477292,3.23532
7759,11,0.0501184,-16.8191
7759,12,0.02441,-27.104
7758,1,0.0389887,-22.7984
7758,2,0.00962552,-35.9148
7758,3,0.0185879,-21.4384
7758,4,0.0226597,-3.87055
7758,5,0.038533,4.36827
7758,6,0.0545941,16.4213
7758,7,0.073779,19.6289
7758,8,0.0519583,19.8136
7758,9,0.112814,11.2264
7758,10,0.0710814,-0.972322
7758,11,0.0341407,-11.6161
7758,12,0.0131049,-37.9604
7757,1,0.0215107,-27.0919
7757,2,0.0146342,-25.7743
7757,3,0.0263076,-16.0364
7757,4,0.0241104,-7.68574
7757,5,0.0331922,3.2328
7757,6,0.0903984,12.9619
7757,7,0.151621,19.0845
7757,8,0.172206,15.6347
7757,9,0.0500902,11.3921
7757,10,0.0283922,-0.125947
7757,11,0.0262102,-15.8583
7757,12,0.0251344,-27.5475
7756,1,0.0163796,-29.9267
7756,2,0.015367,-22.8238
7756,3,0.0422745,-17.3156
7756,4,0.0359717,-3.43989
7756,5,0.0431736,9.63881
7756,6,0.0878916,14.7128
7756,7,0.0823794,20.8066
7756,8,0.0979002,17.2722
7756,9,0.0457167,9.20808
7756,10,0.0166078,2.35931
7756,11,0.0311916,-13.2427
7756,12,0.0192139,-29.6997
7755,1,0.0252833,-32.9844
7755,2,0.0201419,-17.893
7755,3,0.0338624,-13.3269
7755,4,0.0386676,-8.86274
7755,5,0.0532539,4.29551
7755,6,0.0565601,16.6995
7755,7,0.112244,20.7358
7755,8,0.120046,17.1635
7755,9,0.110489,7.59153
7755,10,0.037741,0.747313
7755,11,0.0663692,-10.5435
7755,12,0.0277399,-26.435
7754,1,0.024837,-22.2575
7754,2,0.0100658,-28.872
7754,3,0.0360058,-9.44602
7754,4,0.0269793,-7.11985
7754,5,0.0769872,3.59141
7754,6,0.0662066,15.3179
7754,7,0.0928013,21.104
7754,8,0.127582,16.0413
7754,9,0.0636843,10.8261
7754,10,0.0399136,2.07815
7754,11,0.0323788,-16.0632
7754,12,0.0248419,-32.7608
7753,1,0.0179963,-30.5649
7753,2,0.0117444,-22.8642
7753,3,0.0321131,-18.9529
7753,4,0.0491163,-6.88605
7753,5,0.0349964,4.09343
7753,6,0.0577309,14.1293
7753,7,0.163003,19.9205
7753,8,0.111921,18.1902
7753,9,0.0667439,9.54383
7753,10,0.0498151,-0.718843
7753,11,0.064744,-8.99029
7753,12,0.0173206,-14.6283
7752,1,0.0245927,-25.2505
7752,2,0.0221067,-25.8306
7752,3,0.0211235,-19.366
7752,4,0.0255494,-8.32914
7752,5,0.0439599,3.57545
7752,6,0.102705,15.5679
7752,7,0.0493343,20.8662
7752,8,0.0365466,17.879
7752,9,0.148489,10.1533
7752,10,0.0468995,0.241515
7752,11,0.0341305,-9.54784
7752,12,0.0178615,-28.5152
7751,1,0.0197415,-35.4029
7751,2,0.0189262,-19.467
7751,3,0.0260675,-19.7926
7751,4,0.0295648,-4.44855
7751,5,0.0200131,8.59422
7751,6,0.0857682,17.1411
7751,7,0.0999895,20.4154
7751,8,0.147695,15.2727
7751,9,0.0655949,9.69492
7751,10,0.0310491,-0.476624
7751,11,0.0676998,-10.2059
7751,12,0.0201615,-21.1541
7750,1,0.0235757,-19.5634
7750,2,0.0144069,-27.363
7750,3,0.027746,-16.186
7750,4,0.0257194,-9.24018
7750,5,0.0611208,1.49656
7750,6,0.055938,15.4927
7750,7,0.0781405,21.1562
7750,8,0.07928,17.2651
7750,9,0.014123,10.2746
7750,10,0.0344445,4.05859
7750,11,0.0305176,-6.96737
7750,12,0.030194,-15.707
7749,1,0.0270657,-19.3451
7749,2,0.0204183,-25.6485
7749,3,0.0311138,-12.7304
7749,4,0.0301555,-5.24622
7749,5,0.0883582,4.57216
7749,6,0.138952,13.0866
7749,7,0.127499,19.8188
7749,8,0.0660579,17.4524
7749,9,0.0909959,10.908
7749,10,0.0295095,0.170989
7749,11,0.0387748,-13.9528
7749,12,0.024263,-29.4431
7748,1,0.0467115,-29.099
7748,2,0.012899,-28.3751
7748,3,0.0224146,-11.8677
7748,4,0.0264304,-6.68339
7748,5,0.0339191,5.40989
7748,6,0.0505056,16.5962
7748,7,0.112531,21.0411
7748,8,0.0339347,17.8183
7748,9,0.0716046,11.1211
7748,10,0.0329287,4.11307
7748,11,0.0335892,-12.456
7748,12,0.0151963,-25.4854
7747,1,0.0222449,-20.8915
7747,2,0.0124564,-16.9903
7747,3,0.025877,-8.5257
7747,4,0.0253278,-5.50681
7747,5,0.0578274,5.90837
7747,6,0.0771071,14.3566
7747,7,0.108342,20.6711
7747,8,0.114053,18.3748
7747,9,0.0765092,8.84391
7747,10,0.0720873,0.395507
7747,11,0.0472731,-15.4097
7747,12,0.0163862,-32.2153
7746,1,0.0226068,-23.8226
7746,2,0.0107033,-22.8926
7746,3,0.0316945,-18.0691
7746,4,0.0298377,-5.97556
7746,5,0.0635155,1.51503
7746,6,0.0470653,11.2817
7746,7,0.106254,20.5917
7746,8,0.112528,17.8322
7746,9,0.0490701,12.2302
7746,10,0.0617925,0.365752
7746,11,0.0463722,-13.0339
7746,12,0.0213072,-29.3116
7745,1,0.0246093,-25.1145
7745,2,0.0238571,-21.9487
7745,3,0.0204284,-20.4425
7745,4,0.033412,-3.40528
7745,5,0.0464185,1.94755
7745,6,0.17634,14.4408
7745,7,0.132195,18.5231
7745,8,0.0986033,16.6331
7745,9,0.0889884,8.8429
7745,10,0.046946,0.449279
7745,11,0.0340978,-16.9169
7745,12,0.0289703,-28.6412
7744,1,0.0161487,-31.206
7744,2,0.0112871,-32.0058
7744,3,0.0461097,-16.3213
7744,4,0.018862,-13.9422
7744,5,0.0666496,1.82414
7744,6,0.0657449,15.4471
7744,7,0.130672,21.2846
7744,8,0.0854179,16.5377
7744,9,0.113584,7.74284
7744,10,0.0499781,3.61526
7744,11,0.0402459,-13.5048
7744,12,0.0231618,-22.2186
7743,1,0.0235488,-25.0596
7743,2,0.0165359,-32.3549
7743,3,0.016738,-21.1455
7743,4,0.0178231,-4.11484
7743,5,0.0206736,6.01466
7743,6,0.0408046,17.2424
7743,7,0.122322,21.4437
7743,8,0.0467421,16.9003
7743,9,0.0430782,10.0456
7743,10,0.0532154,1.56662
7743,11,0.039169,-11.2792
7743,12,0.0343872,-23.3167
7742,1,0.0175604,-21.4735
7742,2,0.0176591,-33.1556
7742,3,0.0187467,-20.9724
7742,4,0.0416247,-5.85187
7742,5,0.0395087,5.38472
7742,6,0.07206,13.9932
7742,7,0.0652821,21.6779
7742,8,0.0385174,18.9359
7742,9,0.0879323,9.25397
7742,10,0.0552373,0.670562
7742,11,0.0826743,-15.035
7742,12,0.027517,-23.8857
7741,1,0.031909,-31.5779
7741,2,0.0264214,-21.391
7741,3,0.022483,-22.7633
7741,4,0.0204289,-9.16974
7741,5,0.067543,3.52388
7741,6,0.0571799,14.6188
7741,7,0.0825219,21.4902
7741,8,0.0887676,16.2672
7741,9,0.0445074,9.70713
7741,10,0.0225583,3.69723
7741,11,0.0447401,-7.65011
7741,12,0.0266102,-17.9817
7740,1,0.0374338,-26.582
7740,2,0.0184674,-23.5504
7740,3,0.0297211,-15.3868
7740,4,0.0545632,-8.9372
7740,5,0.0362651,3.29585
7740,6,0.0472386,16.4758
7740,7,0.137844,18.812
7740,8,0.0641495,16.327
7740,9,0.0643399,11.3279
7740,10,0.0532855,0.184752
7740,11,0.0505431,-17.4884
7740,12,0.023375,-29.8064
7739,1,0.0361648,-28.9594
7739,2,0.0170008,-29.7788
7739,3,0.0174314,-13.3646
7739,4,0.027165,-0.75318
7739,5,0.0552555,5.49241
7739,6,0.0851881,14.6307
