"years_forcing","months_forcing","precipforc_1","tsaforc_1"
8000,1,0.0219197,-23.2434
8000,2,0.0116215,-19.0812
8000,3,0.00985216,-24.9153
8000,4,0.0324186,-7.37847
8000,5,0.0514943,1.59318
8000,6,0.103709,13.5521
8000,7,0.0685992,18.3489
8000,8,0.0928762,15.301
8000,9,0.043672,7.86327
8000,10,0.0211948,-4.0037
8000,11,0.0235682,-10.6054
8000,12,0.0209,-33.7022
7999,1,0.0228939,-25.2103
7999,2,0.00560024,-27.0466
7999,3,0.0140769,-15.3391
7999,4,0.0262256,-7.56603
7999,5,0.0566952,3.37156
7999,6,0.0967471,11.6828
7999,7,0.0780363,17.5952
7999,8,0.1354,16.0999
7999,9,0.0830793,8.26378
7999,10,0.0323332,-3.30122
7999,11,0.0270868,-11.2569
7999,12,0.0349723,-28.2844
7998,1,0.00673253,-35.3603
7998,2,0.00840647,-21.5387
7998,3,0.0172435,-15.1368
7998,4,0.0335365,-4.59984
7998,5,0.0347986,5.9528
7998,6,0.0537003,15.2527
7998,7,0.0717098,18.2681
7998,8,0.0699185,14.3616
7998,9,0.0551345,7.66673
7998,10,0.0516454,-4.20206
7998,11,0.0297728,-12.6815
7998,12,0.0199632,-25.2441
7997,1,0.0202483,-32.9575
7997,2,0.009124,-25.1528
7997,3,0.0262014,-20.701
7997,4,0.0205605,-7.70064
7997,5,0.0688455,5.88407
7997,6,0.123006,13.866
7997,7,0.0510999,18.7279
7997,8,0.0748378,15.3493
7997,9,0.0148273,8.65855
7997,10,0.0448053,-3.72803
7997,11,0.0295005,-15.8034
7997,12,0.0306261,-28.1927
7996,1,0.0222892,-29.147
7996,2,0.00872939,-20.7923
7996,3,0.0139855,-18.8595
7996,4,0.030303,-3.36272
7996,5,0.026831,6.11955
7996,6,0.0927918,12.9224
7996,7,0.0523823,18.1035
7996,8,0.131188,14.3532
7996,9,0.0768286,8.42665
7996,10,0.0470606,-5.68558
7996,11,0.0175359,-28.4852
7996,12,0.0202703,-27.5827
7995,1,0.0207883,-17.6779
7995,2,0.0111133,-25.7471
7995,3,0.0162158,-19.873
7995,4,0.0226616,-2.66103
7995,5,0.0219476,4.76652
7995,6,0.066155,14.3097
7995,7,0.124572,16.4301
7995,8,0.0562859,16.5606
7995,9,0.0633417,10.0325
7995,10,0.0416637,-2.25327
7995,11,0.0275565,-18.7636
7995,12,0.0110165,-27.5544
7994,1,0.016303,-30.8965
7994,2,0.00588953,-20.3219
7994,3,0.0111558,-17.5637
7994,4,0.0235542,-3.45214
7994,5,0.0505953,6.78343
7994,6,0.0222814,17.1471
7994,7,0.0688062,20.2274
7994,8,0.0435202,15.4331
7994,9,0.0318429,11.0732
7994,10,0.0379739,-0.538306
7994,11,0.0369341,-14.4662
7994,12,0.0402001,-22.4307
7993,1,0.0117375,-30.016
7993,2,0.00620672,-33.0378
7993,3,0.020824,-13.1483
7993,4,0.0213164,-2.51787
7993,5,0.0465259,5.31819
7993,6,0.0704087,14.4697
7993,7,0.126525,18.1473
7993,8,0.0844588,18.6706
7993,9,0.0442639,8.66747
7993,10,0.0176174,-0.915961
7993,11,0.0220536,-14.1501
7993,12,0.0176019,-26.3281
7992,1,0.00987457,-18.9082
7992,2,0.00848639,-32.1243
7992,3,0.0177992,-7.58902
7992,4,0.0326525,-2.97759
7992,5,0.12437,7.70848
7992,6,0.0455782,13.4202
7992,7,0.133862,18.1962
7992,8,0.0752837,16.4963
7992,9,0.057903,6.92616
7992,10,0.0316191,-1.93958
7992,11,0.0218638,-17.4002
7992,12,0.0192114,-29.2912
7991,1,0.0142234,-29.5451
7991,2,0.00696529,-18.8123
7991,3,0.00897788,-19.9967
7991,4,0.0137573,-0.864183
7991,5,0.0482699,8.29112
7991,6,0.0912577,14.2834
7991,7,0.0737604,18.5631
7991,8,0.0424536,15.7781
7991,9,0.0466274,8.93324
7991,10,0.0455376,-3.48557
7991,11,0.0218006,-18.0662
7991,12,0.0096031,-22.6745
7990,1,0.0105263,-38.372
7990,2,0.0151179,-16.0566
7990,3,0.0139383,-23.0084
7990,4,0.0175835,-3.89345
7990,5,0.02371,5.95121
7990,6,0.0351399,15.2663
7990,7,0.10683,19.839
7990,8,0.0861288,17.4878
7990,9,0.0605526,7.93367
7990,10,0.0360684,-1.23182
7990,11,0.0281192,-12.3396
7990,12,0.0148144,-30.0675
7989,1,0.0172685,-32.2585
7989,2,0.0105875,-17.4689
7989,3,0.0143644,-14.6452
7989,4,0.0197886,-1.45854
7989,5,0.0367577,4.35761
7989,6,0.0745354,18.7332
7989,7,0.103988,19.4098
7989,8,0.0704252,16.2269
7989,9,0.0683263,8.09871
7989,10,0.0225054,0.65484
