"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6580,1,0.0238935,-30.9451
6580,2,0.0122508,-32.3475
6580,3,0.00844081,-35.1526
6580,4,0.021994,-7.88268
6580,5,0.024162,1.26621
6580,6,0.0438162,11.3974
6580,7,0.040413,15.7362
6580,8,0.0736152,15.354
6580,9,0.0300189,6.01613
6580,10,0.0343781,-1.792
6580,11,0.0277061,-22.4706
6580,12,0.0171558,-20.9625
6579,1,0.0150875,-29.6918
6579,2,0.0133453,-18.4134
6579,3,0.00947027,-25.3415
6579,4,0.0234401,-8.8467
6579,5,0.0143564,3.67405
6579,6,0.0893188,11.0299
6579,7,0.074779,14.5891
6579,8,0.0493557,13.5833
6579,9,0.0264585,5.67292
6579,10,0.0347694,-0.269452
6579,11,0.0215644,-18.8098
6579,12,0.0204762,-29.8777
6578,1,0.0144894,-28.5766
6578,2,0.0154188,-34.5139
6578,3,0.0219153,-16.7613
6578,4,0.0171992,-5.52962
6578,5,0.0376329,3.65946
6578,6,0.0625684,10.6733
6578,7,0.046959,15.056
6578,8,0.0482892,14.2655
6578,9,0.0664137,3.83748
6578,10,0.0255242,-3.0691
6578,11,0.0214987,-16.9799
6578,12,0.015317,-30.5459
6577,1,0.0159642,-27.6038
6577,2,0.010556,-15.1576
6577,3,0.0113366,-23.6429
6577,4,0.0226137,-6.62346
6577,5,0.0212828,-4.14474
6577,6,0.0353328,8.70273
6577,7,0.0437702,14.1501
6577,8,0.0428006,14.3483
6577,9,0.0384758,5.35963
6577,10,0.0168791,-2.14665
6577,11,0.0346801,-13.8845
6577,12,0.0191663,-22.945
6576,1,0.012823,-36.0514
6576,2,0.0101276,-31.1791
6576,3,0.00839968,-25.7806
6576,4,0.0232222,-3.33892
6576,5,0.020947,3.9126
6576,6,0.0423709,11.5788
6576,7,0.147718,15.0683
6576,8,0.0618505,14.389
6576,9,0.0318775,4.878
6576,10,0.0236694,-3.37785
6576,11,0.0316506,-7.44446
6576,12,0.0267331,-23.5572
6575,1,0.0160401,-20.5655
6575,2,0.0105236,-28.0587
6575,3,0.0148296,-21.5557
6575,4,0.0136764,-11.1879
6575,5,0.0198365,4.2988
6575,6,0.04216,12.3396
6575,7,0.0701955,14.8757
6575,8,0.060246,14.0167
6575,9,0.0716974,4.10325
6575,10,0.041573,-5.22041
6575,11,0.0252247,-24.5336
6575,12,0.0251861,-21.8274
6574,1,0.0133105,-29.6168
6574,2,0.0107681,-36.3953
6574,3,0.019499,-25.1763
6574,4,0.0166797,-7.88109
6574,5,0.0226779,2.07853
6574,6,0.0338469,12.3042
6574,7,0.0836773,17.3032
6574,8,0.0489611,13.1184
6574,9,0.0374128,4.28422
6574,10,0.0208253,-5.79173
6574,11,0.0292828,-16.5751
6574,12,0.0133034,-29.8866
6573,1,0.0152135,-29.4158
6573,2,0.0139097,-28.9957
6573,3,0.0117537,-26.1685
6573,4,0.0104711,-10.7443
6573,5,0.0293938,1.68656
6573,6,0.0470039,9.71772
6573,7,0.0684636,16.61
6573,8,0.0650132,13.7596
6573,9,0.0245285,6.36317
6573,10,0.035485,-5.68373
6573,11,0.0197431,-29.5882
6573,12,0.0182387,-28.3942
6572,1,0.0192181,-31.1213
6572,2,0.0115665,-19.0819
6572,3,0.0187254,-21.1667
6572,4,0.0230466,-7.9703
6572,5,0.0198653,3.47739
6572,6,0.0358817,10.7112
6572,7,0.0862512,16.1754
6572,8,0.0631732,16.392
6572,9,0.0458929,4.47816
6572,10,0.0242764,-0.807172
6572,11,0.0205734,-17.4083
6572,12,0.0200431,-33.3347
6571,1,0.0173389,-30.259
6571,2,0.0171863,-24.2069
6571,3,0.00831828,-23.2101
6571,4,0.0131207,-9.14351
6571,5,0.0358668,1.51957
6571,6,0.0474521,14.5467
6571,7,0.0792942,16.5999
6571,8,0.0448636,13.4859
6571,9,0.0440533,5.72569
6571,10,0.0362371,-4.78895
6571,11,0.0308768,-16.602
6571,12,0.0198853,-28.2093
6570,1,0.0155267,-36.242
6570,2,0.0220585,-21.697
6570,3,0.0150107,-18.596
6570,4,0.0270134,-6.97045
6570,5,0.0327038,1.89777
6570,6,0.07155,10.391
6570,7,0.0583939,16.6526
6570,8,0.0653775,14.5121
6570,9,0.0338188,4.84715
6570,10,0.0365448,-4.4015
6570,11,0.0317288,-17.4444
6570,12,0.0163345,-30.9348
6569,1,0.00975921,-39.5385
6569,2,0.0234022,-23.6626
6569,3,0.00954878,-25.1192
6569,4,0.0223605,-8.28545
6569,5,0.0229065,3.48432
6569,6,0.0408467,13.3286
6569,7,0.056078,18.1231
6569,8,0.0428104,15.1337
6569,9,0.0435442,5.28254
6569,10,0.0367901,-4.06825
6569,11,0.0253421,-17.1432
6569,12,0.0237873,-24.4665
6568,1,0.00673657,-36.9027
6568,2,0.0170642,-25.642
6568,3,0.0283292,-24.6912
6568,4,0.0239784,-8.04982
6568,5,0.0208686,2.99988
6568,6,0.0816737,11.1415
6568,7,0.0849017,19.0654
6568,8,0.0931301,14.1437
6568,9,0.0623726,7.01933
6568,10,0.0414168,-0.225995
6568,11,0.024171,-21.2069
6568,12,0.0145233,-28.6336
6567,1,0.0152265,-34.2938
6567,2,0.0106483,-20.5605
6567,3,0.0120072,-23.0633
6567,4,0.0249829,-5.24166
6567,5,0.0226656,4.52594
6567,6,0.0725355,11.6318
6567,7,0.0213431,16.1423
6567,8,0.0364689,15.9166
6567,9,0.0416989,3.28502
6567,10,0.0373878,0.165301
6567,11,0.0299509,-13.3811
6567,12,0.0165897,-28.5044
6566,1,0.0113362,-32.0564
6566,2,0.00874008,-28.567
6566,3,0.0168492,-21.296
6566,4,0.0248537,-8.72924
6566,5,0.0444152,6.20441
6566,6,0.125888,13.2323
6566,7,0.0797407,14.989
6566,8,0.0597796,13.5758
6566,9,0.0393846,6.64131
6566,10,0.0351374,-5.792
6566,11,0.0314129,-17.456
6566,12,0.0213133,-21.8918
6565,1,0.017961,-24.8537
6565,2,0.0155836,-25.4109
6565,3,0.0127209,-21.5615
6565,4,0.0212293,-4.50817
6565,5,0.0320713,1.07544
6565,6,0.0524917,9.05356
6565,7,0.079348,16.2097
6565,8,0.0393033,13.5682
6565,9,0.0479803,6.11543
6565,10,0.027861,-5.01689
6565,11,0.0357301,-17.307
6565,12,0.0144193,-35.4428
6564,1,0.0267897,-27.5183
6564,2,0.0106697,-25.9446
6564,3,0.027931,-14.8742
6564,4,0.0264368,-6.34383
6564,5,0.0164645,4.0102
6564,6,0.0776058,11.1566
6564,7,0.105467,15.1284
6564,8,0.124611,15.0475
6564,9,0.0555633,5.2202
6564,10,0.0318015,-0.60185
