"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6620,1,0.00843978,-34.0201
6620,2,0.00507605,-29.7676
6620,3,0.00940228,-28.5104
6620,4,0.0104756,-16.4416
6620,5,0.010358,-6.61002
6620,6,0.0206259,4.81692
6620,7,0.0240628,10.7052
6620,8,0.0301162,7.63117
6620,9,0.023334,-1.11579
6620,10,0.0155796,-8.55411
6620,11,0.0116305,-18.7474
6620,12,0.00840996,-34.2254
6619,1,0.0067809,-36.1915
6619,2,0.00365312,-36.3253
6619,3,0.00324416,-34.9264
6619,4,0.010228,-19.4882
6619,5,0.0070569,-7.21452
6619,6,0.0235566,4.14019
6619,7,0.0279027,10.6085
6619,8,0.0311614,8.4856
6619,9,0.021693,2.11239
6619,10,0.0186458,-6.39582
6619,11,0.0121904,-14.3077
6619,12,0.0102576,-30.1851
6618,1,0.00420576,-41.7936
6618,2,0.0103653,-27.5907
6618,3,0.0111928,-26.4044
6618,4,0.0102182,-18.4051
6618,5,0.0101119,-3.45768
6618,6,0.0129932,9.57412
6618,7,0.0241329,13.2151
6618,8,0.0188572,9.91154
6618,9,0.0200605,0.126458
6618,10,0.0159392,-18.4576
6618,11,0.00795709,-29.273
6618,12,0.0126185,-25.7655
6617,1,0.00349548,-41.0217
6617,2,0.00276442,-34.4316
6617,3,0.0068296,-30.0731
6617,4,0.00893656,-20.2958
6617,5,0.0102924,-5.65528
6617,6,0.0248628,5.12521
6617,7,0.0565515,12.3323
6617,8,0.0298465,10.2371
6617,9,0.0249454,3.15731
6617,10,0.0162729,-11.3447
6617,11,0.0109733,-27.6551
6617,12,0.0122115,-32.7149
6616,1,0.00489673,-38.7903
6616,2,0.00195995,-38.3197
6616,3,0.00931002,-29.9863
6616,4,0.00911994,-18.0267
6616,5,0.00862302,-9.10056
6616,6,0.0132542,6.29156
6616,7,0.0198473,13.3631
6616,8,0.0376564,11.2128
6616,9,0.0248993,0.0317924
6616,10,0.0201778,-12.5473
6616,11,0.0120762,-17.9419
6616,12,0.00596208,-36.3747
6615,1,0.00613162,-37.4036
6615,2,0.0131339,-29.6145
6615,3,0.00611104,-30.7586
6615,4,0.00632456,-21.1672
6615,5,0.00785331,-11.2365
6615,6,0.0145547,4.10149
6615,7,0.0480636,12.9324
6615,8,0.0348648,9.72331
6615,9,0.0324931,2.33822
6615,10,0.0172921,-5.94559
6615,11,0.0104166,-19.6702
6615,12,0.00487553,-31.6376
6614,1,0.00581734,-31.0474
6614,2,0.0109731,-20.1764
6614,3,0.00430015,-34.4168
6614,4,0.0064638,-27.4688
6614,5,0.00948513,-9.1623
6614,6,0.0193208,6.75289
6614,7,0.0316372,12.333
6614,8,0.0339181,9.83836
6614,9,0.0199012,1.30145
6614,10,0.022007,-6.15989
6614,11,0.0106236,-18.832
6614,12,0.00773219,-23.2845
6613,1,0.00527846,-36.1501
6613,2,0.0127561,-27.7507
6613,3,0.0059419,-28.9843
6613,4,0.00540838,-20.3366
6613,5,0.0100738,-9.17259
6613,6,0.0260562,5.89526
6613,7,0.0360485,10.2829
6613,8,0.0332185,9.19102
6613,9,0.0262252,1.00015
6613,10,0.0220408,-6.97388
6613,11,0.0155908,-19.8822
6613,12,0.0138089,-27.4786
6612,1,0.0110672,-28.716
6612,2,0.00714349,-28.9603
6612,3,0.0102784,-26.9359
6612,4,0.00751696,-23.5838
6612,5,0.00803106,-7.72483
6612,6,0.0121188,3.01525
6612,7,0.0259973,12.6141
6612,8,0.0251754,8.16303
6612,9,0.0164889,1.72579
6612,10,0.0160633,-10.8235
6612,11,0.0146515,-21.004
6612,12,0.00850686,-30.917
6611,1,0.00564017,-39.7669
6611,2,0.00699223,-33.6408
6611,3,0.012092,-25.0806
6611,4,0.0130352,-21.0225
6611,5,0.00940561,-8.63246
6611,6,0.0236854,3.53326
6611,7,0.0267439,10.5719
6611,8,0.024125,11.2754
6611,9,0.0193336,4.20059
6611,10,0.0170873,-11.388
6611,11,0.0175737,-19.6772
6611,12,0.0072561,-32.7835
6610,1,0.00294956,-34.5951
6610,2,0.00770419,-31.1171
6610,3,0.00679844,-29.224
6610,4,0.00598505,-24.684
6610,5,0.00860506,-4.1056
6610,6,0.0170761,8.25146
6610,7,0.023781,12.5342
6610,8,0.0346614,9.2783
6610,9,0.0219435,3.14285
6610,10,0.0207952,-6.39688
6610,11,0.00667856,-30.51
6610,12,0.00708466,-35.1947
6609,1,0.00538254,-32.4566
6609,2,0.01013,-29.4212
6609,3,0.010154,-23.9433
6609,4,0.00928804,-17.7009
6609,5,0.010691,-7.70823
6609,6,0.0200262,7.98873
6609,7,0.0105786,13.2184
6609,8,0.0178032,9.43946
6609,9,0.0343902,-0.0423958
6609,10,0.0243061,-16.2314
6609,11,0.0148427,-27.452
6609,12,0.0107571,-30.3135
6608,1,0.01159,-26.4751
6608,2,0.00633493,-35.0497
6608,3,0.00592089,-31.3454
6608,4,0.00973243,-22.6071
6608,5,0.0106203,-7.03303
6608,6,0.0234685,6.48742
6608,7,0.0219256,12.6392
6608,8,0.0212532,11.4978
6608,9,0.0253258,2.48766
