HPM20_mon output - time series of water dynamics - units: depth/thickness: m or m/y; time: y 
 time  annWTD   annPPT   annSnow  annRain  annSublim  annAET   annPET   annRUNOFF annRUNON   annNetWatIn  
    0.5    0.04000    0.45636    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   
    1.5    0.04000    0.48280    0.19873    0.28464    0.06201    0.00000    0.00000    0.00000    0.00000    0.00000   
    2.5    0.04000    0.46285    0.25192    0.21239    0.07594    0.00000    0.00000    0.00000    0.00000    0.00000   
    3.5    0.04000    0.38992    0.20845    0.18051    0.06745    0.00000    0.00000    0.00000    0.00000    0.00000   
    4.5    0.04000    0.42743    0.19963    0.22452    0.07346    0.00000    0.00000    0.00000    0.00000    0.00000   
    5.5    0.04000    0.45047    0.14696    0.30092    0.06326    0.00000    0.00000    0.00000    0.00000    0.00000   
    6.5    0.04000    0.42105    0.21058    0.21016    0.08716    0.00000    0.00000    0.00000    0.00000    0.00000   
    7.5    0.04000    0.46755    0.20625    0.26256    0.07650    0.00000    0.00000    0.00000    0.00000    0.00000   
    8.5    0.04000    0.51044    0.19208    0.31704    0.06429    0.00000    0.00000    0.00000    0.00000    0.00000   
    9.5    0.04000    0.41891    0.15927    0.26116    0.06204    0.00000    0.00000    0.00000    0.00000    0.00000   
   10.5    0.04000    0.49220    0.22233    0.27280    0.07579    0.00000    0.00000    0.00000    0.00000    0.00000   
   11.5    0.04000    0.41718    0.18341    0.23502    0.04479    0.00000    0.00000    0.00000    0.00000    0.00000   
   12.5    0.04000    0.46060    0.19860    0.25929    0.08543    0.00000    0.00000    0.00000    0.00000    0.00000   
   13.5    0.04000    0.45999    0.22913    0.23515    0.07647    0.00000    0.00000    0.00000    0.00000    0.00000   
   14.5    0.04000    0.42919    0.18017    0.24981    0.06997    0.00000    0.00000    0.00000    0.00000    0.00000   
   15.5    0.04000    0.50649    0.18555    0.32286    0.03332    0.00000    0.00000    0.00000    0.00000    0.00000   
   16.5    0.04000    0.45430    0.19082    0.26534    0.06906    0.00000    0.00000    0.00000    0.00000    0.00000   
   17.5    0.04000    0.37483    0.16853    0.20486    0.07652    0.00000    0.00000    0.00000    0.00000    0.00000   
   18.5    0.04000    0.47363    0.24881    0.22673    0.06310    0.00000    0.00000    0.00000    0.00000    0.00000   
   19.5    0.04000    0.42979    0.16527    0.26940    0.07284    0.00000    0.00000    0.00000    0.00000    0.00000   
   20.5    0.04000    0.45765    0.22245    0.23483    0.06601    0.00000    0.00000    0.00000    0.00000    0.00000   
   21.5    0.04000    0.55107    0.23092    0.32075    0.08252    0.00000    0.00000    0.00000    0.00000    0.00000   
   22.5    0.04000    0.40816    0.18833    0.21929    0.08309    0.00000    0.00000    0.00000    0.00000    0.00000   
   23.5    0.04000    0.43511    0.17889    0.25659    0.07308    0.00000    0.00000    0.00000    0.00000    0.00000   
   24.5    0.04000    0.46568    0.23275    0.23151    0.07485    0.00000    0.00000    0.00000    0.00000    0.00000   
   25.5    0.04000    0.45448    0.21656    0.24119    0.07402    0.00000    0.00000    0.00000    0.00000    0.00000   
   26.5    0.04000    0.43223    0.21676    0.21372    0.06840    0.00000    0.00000    0.00000    0.00000    0.00000   
   27.5    0.04000    0.43064    0.20560    0.22826    0.07055    0.00000    0.00000    0.00000    0.00000    0.00000   
   28.5    0.04000    0.42310    0.17909    0.24755    0.05691    0.00000    0.00000    0.00000    0.00000    0.00000   
   29.5    0.04000    0.43435    0.19691    0.23948    0.06811    0.00000    0.00000    0.00000    0.00000    0.00000   
   30.5    0.04000    0.46466    0.19308    0.27232    0.07261    0.00000    0.00000    0.00000    0.00000    0.00000   
   31.5    0.04000    0.44998    0.17041    0.28120    0.03139    0.00000    0.00000    0.00000    0.00000    0.00000   
   32.5    0.04000    0.45337    0.20333    0.24922    0.07234    0.00000    0.00000    0.00000    0.00000    0.00000   
   33.5    0.04000    0.38802    0.15337    0.23494    0.04667    0.00000    0.00000    0.00000    0.00000    0.00000   
   34.5    0.04000    0.51321    0.18804    0.32514    0.06871    0.00000    0.00000    0.00000    0.00000    0.00000   
   35.5    0.04000    0.45398    0.20171    0.24990    0.05299    0.00000    0.00000    0.00000    0.00000    0.00000   
   36.5    0.04000    0.49791    0.23525    0.26782    0.07122    0.00000    0.00000    0.00000    0.00000    0.00000   
   37.5    0.04000    0.43649    0.18284    0.25408    0.08470    0.00000    0.00000    0.00000    0.00000    0.00000   
   38.5    0.04000    0.45753    0.20774    0.24899    0.07397    0.00000    0.00000    0.00000    0.00000    0.00000   
   39.5    0.04000    0.37191    0.16805    0.19847    0.05663    0.00000    0.00000    0.00000    0.00000    0.00000   
   40.5    0.04000    0.49469    0.22907    0.26856    0.06055    0.00000    0.00000    0.00000    0.00000    0.00000   
   41.5    0.04000    0.47497    0.17296    0.30192    0.04105    0.00000    0.00000    0.00000    0.00000    0.00000   
   42.5    0.04000    0.42390    0.21112    0.21694    0.07514    0.00000    0.00000    0.00000    0.00000    0.00000   
   43.5    0.04000    0.41865    0.16673    0.25053    0.06988    0.00000    0.00000    0.00000    0.00000    0.00000   
   44.5    0.04000    0.52672    0.18473    0.34426    0.06975    0.00000    0.00000    0.00000    0.00000    0.00000   
   45.5    0.04000    0.48607    0.19801    0.28819    0.06636    0.00000    0.00000    0.00000    0.00000    0.00000   
   46.5    0.04000    0.44541    0.20414    0.23902    0.06586    0.00000    0.00000    0.00000    0.00000    0.00000   
   47.5    0.04000    0.33348    0.15642    0.18090    0.06313    0.00000    0.00000    0.00000    0.00000    0.00000   
   48.5    0.04000    0.34942    0.15429    0.19917    0.05871    0.00000    0.00000    0.00000    0.00000    0.00000   
   49.5    0.04000    0.53306    0.22591    0.30395    0.04331    0.00000    0.00000    0.00000    0.00000    0.00000   
   50.5    0.04000    0.44434    0.19070    0.25326    0.06230    0.00000    0.00000    0.00000    0.00000    0.00000   
   51.5    0.04000    0.41523    0.18045    0.23311    0.05906    0.00000    0.00000    0.00000    0.00000    0.00000   
   52.5    0.04000    0.45842    0.20278    0.25566    0.05527    0.00000    0.00000    0.00000    0.00000    0.00000   
   53.5    0.04000    0.46813    0.23025    0.24064    0.06940    0.00000    0.00000    0.00000    0.00000    0.00000   
   54.5    0.04000    0.45808    0.18051    0.27739    0.08325    0.00000    0.00000    0.00000    0.00000    0.00000   
   55.5    0.04000    0.49669    0.22304    0.27526    0.05971    0.00000    0.00000    0.00000    0.00000    0.00000   
